id,street,lon,lat
1391259745,"""Teatr Bagatela""",19.9325594,50.0635712
6709481672,"""Teatr Bagatela""",19.9325741,50.0635938
1391259298,"""Teatr Bagatela""",19.9325886,50.0636159
1391259338,"""Teatr Bagatela""",19.9324649,50.0637455
1391259205,"""Teatr Bagatela""",19.9324094,50.0637219
1391259342,"""Teatr Bagatela""",19.9322322,50.0637134
6499481705,"""Teatr Bagatela""",19.9320510,50.0637097
6499481704,"""Teatr Bagatela""",19.9320506,50.0637182
1391259144,"""Teatr Bagatela""",19.9320311,50.0637186
1391259304,"""Teatr Bagatela""",19.9319490,50.0637106
1291475626,"""Teatr Bagatela""",19.9319653,50.0635552
2423437241,"""Teatr Bagatela""",19.9336300,50.0641091
2423437237,"""Teatr Bagatela""",19.9332103,50.0637324
2423437238,"""Teatr Bagatela""",19.9331682,50.0637517
2423437242,"""Teatr Bagatela""",19.9335879,50.0641284
2423437241,"""Teatr Bagatela""",19.9336300,50.0641091
2423437234,"""Teatr Bagatela""",19.9327658,50.0631476
2423437233,"""Teatr Bagatela""",19.9327817,50.0631402
2423437232,"""Teatr Bagatela""",19.9327979,50.0631327
4059030442,"""Teatr Bagatela""",19.9326151,50.0629705
2423437229,"""Teatr Bagatela""",19.9325087,50.0628760
2104477070,"""Teatr Bagatela""",19.9324913,50.0628841
2423437231,"""Teatr Bagatela""",19.9324765,50.0628910
2423437234,"""Teatr Bagatela""",19.9327658,50.0631476
2423437235,"""Teatr Bagatela""",19.9325999,50.0636338
2423437239,"""Teatr Bagatela""",19.9323749,50.0638735
2423437240,"""Teatr Bagatela""",19.9324110,50.0638875
2423437236,"""Teatr Bagatela""",19.9326361,50.0636478
2423437235,"""Teatr Bagatela""",19.9325999,50.0636338
2422891651,"""Poczta Główna""",19.9423140,50.0598060
2992440124,"""Poczta Główna""",19.9423056,50.0598107
2422891652,"""Poczta Główna""",19.9422688,50.0598313
2992441537,"""Poczta Główna""",19.9423961,50.0599230
2422891654,"""Poczta Główna""",19.9424164,50.0599376
2992440853,"""Poczta Główna""",19.9424554,50.0599131
2422891653,"""Poczta Główna""",19.9424596,50.0599104
2422891651,"""Poczta Główna""",19.9423140,50.0598060
2422891644,"""Poczta Główna""",19.9425035,50.0592894
2422891646,"""Poczta Główna""",19.9425715,50.0593144
2422891639,"""Poczta Główna""",19.9427418,50.0591234
2422891636,"""Poczta Główna""",19.9426737,50.0590984
2422891644,"""Poczta Główna""",19.9425035,50.0592894
